NAME,CLUB,POSITION,AGE,PLACE OF BIRTH,MARKET VALUE
Lalthuammawia Ralte,Bengaluru FC,Goalkeeper,31,Champhai,"40,00,000"
Lalremtluanga Fanai,Bengaluru FC,Midfielder,19,Aizawl,"20,00,000"
Laldinliana Renthlei,Chennaiyin FC,Defender,26,,"80,00,000"
Laldinpuia Pachuau,Chennaiyin FC,Defender,27,,"1,60,00,000"
Lalrinliana Hnamte,Chennaiyin FC,Midfielder,21,Dungtlang,"40,00,000"
Lalchungnunga,East Bengal,Defender,23,Aizawl,"1,80,00,000"
Mark Zothanpuia,East Bengal,Midfielder,22,Aizawl,"60,00,000"
David Lalhlansanga Hmar,East Bengal,Forward,22,,"1,20,00,000"
Lalthangliana PCS Lalvenkima,FC Goa,Midfielder,20,,
Malsawmtluanga Lalsangliana,FC Goa,Midfielder,19,,
Lalbiakhlua Jongte,Hyderabad FC,Goalkeeper,22,Lunglei,"40,00,000"
Laldanmawia Hrangthankima,Hyderabad FC,Defender,20,,"40,00,000"
Ramhlunchhunga,Hyderabad FC,Midfielder,23,,"60,00,000"
Isaac Vanmalsawma Chhakchhuak,Hyderabad FC,Midfielder,28,Lunglei,"40,00,000"
Lalchhanhima Sailo,Hyderabad FC,Midfielder,21,,"60,00,000"
Aron Vanlalrinchhana,Hyderabad FC,Forward,20,,
Chawngthu Lalhriatpuia,Jamshedpur FC,Midfielder,19,,
Freddy Lallawmawma,Kerala Blasters,Midfielder,22,,"1,40,00,000"
Renthlei Lalthanmawia,Kerala Blasters,Midfielder,22,,"1,00,00,000"
Joe Zoherliana,Mohammedan SC,Defender,25,Lengpui,"1,00,00,000"
Vanlalzuidika Chhakchhuak,Mohammedan SC,Defender,26,Lunglei,"80,00,000"
Zodingliana Ralte,Mohammedan SC,Defender,29,Aizawl,"1,20,00,000"
Rochharzela,Mohammedan SC,Midfielder,26,,"20,00,000"
Jeremy Laldinpuia,Mohammedan SC,Midfielder,24,,"1,00,00,000"
Lalremsanga Fanai,Mohammedan SC,Midfielder,22,,"1,40,00,000"
Lalrinfela Khiangte,Mohammedan SC,Midfielder,29,,
Lalengmawia Ralte,Mohun Bagan SG,Midfielder,23,Aizawl,"2,80,00,000"
Hmingthanmawia Ralte,Mumbai City,Defender,24,Lunglei,"60,00,000"
Daniel Lalhlimpuia,Mumbai City,Forward,27,Serchhip,"40,00,000"
Lallianzuala Chhangte,Mumbai City,Forward,27,Lunglei,"3,00,00,000"
Fredy Chawngthansanga,Northeast United,Midfielder,21,,
Jeremy Zohminghlua,Odisha FC,Defender,19,Aizawl,"20,00,000"
Jerry Lalrinzuala,Odisha FC,Defender,26,Aizawl,"1,60,00,000"
Isak Vanlalruatfela,Odisha FC,Midfielder,23,,"1,80,00,000"
Lalthathanga Khawlhring,Odisha FC,Midfielder,26,Aizawl,"1,80,00,000"
Jerry Mawihmingthanga,Odisha FC,Forward,26,Aizawl,"1,80,00,000"
,Punjab FC,,,,
